EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
1,28,6,Yes,24.37,40,Salary,50689.6,89,Research,Female,Married,3.0,7.0,Mail Check,Yes
2,33,2,Yes,24.37,40,Salary,50689.6,89,Research,Female,Married,6.0,7.0,Mail Check,Yes
3,22,1,No,22.52,40,Salary,46841.6,35,Information Technology,Female,Single,1.0,8.0,Mail Check,Yes
7,34,6,No,28.43,40,Salary,59134.4,0,Human Resources,Male,Single,2.0,23.0,Mail Check,Yes
8,37,9,Yes,28.43,40,Salary,59134.4,0,Human Resources,Male,Single,1.0,25.0,Mail Check,Yes
10,24,1,Yes,21.87,40,Salary,45489.6,76,Human Resources,Female,Single,2.0,9.0,Mail Check,Yes
11,30,3,Yes,29.54,40,Salary,61443.2,15,Laboratory,Female,Divorced,3.0,6.0,Mail Check,Yes
12,34,8,Yes,29.54,40,Salary,61443.2,15,Laboratory,Female,Divorced,1.0,6.0,Mail Check,Yes
14,47,16,Yes,85.24,40,Salary,177299.2,2,Research,Male,Single,5.0,5.0,Mail Check,Yes
15,30,2,Yes,30.42,40,Salary,63273.6,36,Information Technology,Female,Married,2.0,6.0,Mail Check,Yes
16,38,1,No,30.42,40,Salary,63273.6,36,Information Technology,Female,Married,3.0,5.0,Mail Check,Yes
20,35,10,No,24.3,40,Salary,50544.0,2,Sales,Female,Married,5.0,15.0,Mail Check,Yes
22,37,7,Yes,26.28,40,Salary,54662.4,14,Research,Female,Married,5.0,15.0,Direct Deposit,Yes
38,44,10,No,85.44,40,Salary,177715.2,33,Sales,Female,Single,7.0,19.0,Mail Check,Yes
40,37,9,No,29.21,40,Salary,60756.8,79,Laboratory,Female,Divorced,4.0,22.0,Direct Deposit,Yes
41,30,1,No,23.86,40,Salary,49628.8,50,Marketing,Female,Single,1.0,12.0,Mail Check,Yes
42,30,8,Yes,23.86,40,Salary,49628.8,50,Marketing,Female,Single,2.0,21.0,Mail Check,Yes
45,36,8,No,84.7,40,Salary,176176.0,75,Manufacturing,Prefer Not to Answer,Divorced,6.0,9.0,Mail Check,Yes
47,36,1,Yes,26.48,40,Salary,55078.4,57,Sales,Female,Divorced,6.0,24.0,Direct Deposit,Yes
48,38,3,Yes,26.48,40,Salary,55078.4,57,Sales,Female,Divorced,1.0,10.0,Direct Deposit,Yes
49,36,2,Yes,28.3,40,Salary,58864.0,82,Sales,Female,Married,2.0,24.0,Mail Check,Yes
50,40,8,No,28.3,40,Salary,58864.0,82,Sales,Female,Married,5.0,14.0,Mail Check,Yes
51,27,3,Yes,22.72,40,Salary,47257.6,4,Information Technology,Male,Single,2.0,5.0,Mail Check,Yes
52,32,3,Yes,22.72,40,Salary,47257.6,4,Information Technology,Male,Single,3.0,14.0,Mail Check,Yes
58,33,5,Yes,26.33,40,Salary,54766.4,60,Healthcare,Male,Single,3.0,17.0,Mail Check,Yes
64,39,1,No,26.14,40,Salary,54371.2,36,Manufacturing,Female,Divorced,2.0,11.0,Mail Check,Yes
67,30,8,No,24.74,40,Salary,51459.2,77,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
68,32,4,No,24.74,40,Salary,51459.2,77,Sales,Male,Divorced,2.0,8.0,Mail Check,Yes
72,57,5,No,85.22,40,Salary,177257.6,33,Laboratory,Prefer Not to Answer,Single,5.0,12.0,Mail Check,Yes
73,28,6,No,22.8,40,Salary,47424.0,24,Research,Female,Divorced,2.0,19.0,Mail Check,Yes
74,28,1,Yes,22.8,40,Salary,47424.0,24,Research,Female,Divorced,3.0,18.0,Mail Check,Yes
75,34,6,No,28.2,40,Salary,58656.0,12,Sales,Male,Single,4.0,17.0,Direct Deposit,Yes
76,40,4,No,28.2,40,Salary,58656.0,12,Sales,Male,Single,5.0,20.0,Direct Deposit,Yes
77,30,7,No,28.1,40,Salary,58448.0,2,Sales,Male,Single,1.0,12.0,Mail Check,Yes
78,40,3,Yes,28.1,40,Salary,58448.0,2,Sales,Male,Single,1.0,22.0,Mail Check,Yes
79,34,9,No,26.59,40,Salary,55307.2,67,Information Technology,Female,Divorced,2.0,20.0,Mail Check,Yes
80,37,3,No,26.59,40,Salary,55307.2,67,Information Technology,Female,Divorced,3.0,6.0,Mail Check,Yes
85,53,18,Yes,31.39,40,Salary,65291.2,62,Information Technology,Female,Divorced,2.0,25.0,Mail Check,Yes
86,57,14,Yes,31.39,40,Salary,65291.2,62,Information Technology,Female,Divorced,9.0,18.0,Mail Check,Yes
87,39,7,Yes,31.39,40,Salary,65291.2,47,Information Technology,Female,Divorced,4.0,6.0,Mail Check,Yes
89,31,9,No,28.73,40,Salary,59758.4,28,Laboratory,Female,Married,1.0,25.0,Mail Check,Yes
90,40,1,No,28.73,40,Salary,59758.4,28,Laboratory,Female,Married,6.0,10.0,Mail Check,Yes
93,44,8,Yes,48.45,40,Salary,100776.0,76,Marketing,Female,Married,5.0,12.0,Mail Check,Yes
96,54,17,No,85.4,40,Salary,177632.0,31,Research,Male,Single,2.0,25.0,Mail Check,Yes
98,58,19,No,71.9,40,Salary,149552.0,32,Marketing,Male,Married,5.0,23.0,Mail Check,Yes
99,48,17,Yes,71.33,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,8.0,8.0,Mail Check,Yes
100,57,17,No,71.33,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,9.0,22.0,Mail Check,Yes
101,49,7,No,65.62,40,Salary,136489.6,15,Research,Male,Divorced,6.0,17.0,Direct Deposit,Yes
102,52,17,Yes,65.62,40,Salary,136489.6,15,Research,Male,Divorced,1.0,6.0,Direct Deposit,Yes
